DatoTid	Temperatur	Luftfugtighed	Afstand	Lys
Dato	Tid	Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	Lys intensitet (0-100)
2000-00-00T00:00:00	23.00	50.00	119	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	122	84
2000-00-00T00:00:00	23.00	50.00	120	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	119	84
2000-00-00T00:00:00	23.00	50.00	119	84
2000-00-00T00:00:00	23.00	50.00	120	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	122	83
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	123	84
2000-00-00T00:00:00	23.00	50.00	120	84
2000-00-00T00:00:00	23.00	50.00	122	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	122	84
2000-00-00T00:00:00	23.00	50.00	120	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	119	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	120	84
2000-00-00T00:00:00	23.00	50.00	120	84
2000-00-00T00:00:00	23.00	50.00	119	83
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	120	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	122	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	120	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	122	84
2000-00-00T00:00:00	23.00	50.00	122	84
2000-00-00T00:00:00	23.00	50.00	122	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	122	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	122	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	23.00	50.00	123	84
2000-00-00T00:00:00	23.00	50.00	121	84
2000-00-00T00:00:00	22.00	50.00	122	84
2000-00-00T00:00:00	22.00	50.00	121	84
2000-00-00T00:00:00	22.00	50.00	122	84
2000-00-00T00:00:00	22.00	50.00	120	84
2000-00-00T00:00:00	22.00	50.00	121	84
2000-00-00T00:00:00	22.00	50.00	121	84
2000-00-00T00:00:00	22.00	50.00	121	84
2000-00-00T00:00:00	22.00	50.00	121	84
2000-00-00T00:00:00	22.00	50.00	122	84
2000-00-00T00:00:00	22.00	50.00	119	84
2000-00-00T00:00:00	22.00	51.00	118	84
2000-00-00T00:00:00	22.00	51.00	119	83
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	123	84
2000-00-00T00:00:00	22.00	51.00	124	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	123	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	119	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	121	83
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	123	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	119	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	123	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	123	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	119	84
2000-00-00T00:00:00	22.00	51.00	120	83
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	119	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	83
2000-00-00T00:00:00	22.00	51.00	121	83
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	119	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	121	83
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	123	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	117	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	121	83
2000-00-00T00:00:00	22.00	51.00	119	84
2000-00-00T00:00:00	22.00	51.00	122	83
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	123	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	122	84
2000-00-00T00:00:00	22.00	51.00	119	84
2000-00-00T00:00:00	22.00	51.00	123	84
2000-00-00T00:00:00	22.00	51.00	120	84
2000-00-00T00:00:00	22.00	51.00	121	84
2000-00-00T00:00:00	22.00	51.00	120	84
